year,code,name,大数据
2017,sz600823,世茂股份,0
2017,sz000715,中兴商业,1
2017,sz002272,川润股份,1
2017,sz300188,美亚柏科,1
2017,sz000877,天山股份,0
2017,sz601600,中国铝业,0
2017,sz601857,中国石油,0
2017,sz300635,达安股份,0
2017,sz002011,盾安环境,0
2017,sz000812,陕西金叶,1
2017,sz600585,海螺水泥,0
2017,sz600995,文山电力,1
2017,sz600030,中信证券,0
2017,sz600358,国旅联合,1
2017,sz601619,嘉泽新能,1
2017,sz601628,中国人寿,1
2017,sz600095,哈高科,0
2017,sz300304,云意电气,0
2017,sz600876,洛阳玻璃,1
2017,sz601992,金隅集团,0
2017,sz300024,机器人,1
2017,sz300534,陇神戎发,1
2017,sz002253,川大智胜,1
2017,sz300034,钢研高纳,0
2017,sz002108,沧州明珠,0
2017,sz002584,西陇科学,1
2017,sz600096,云天化,1
2017,sz600511,国药股份,0
2017,sz000810,创维数字,1
2017,sz600873,梅花生物,0
2017,sz000401,冀东水泥,0
2017,sz603595,东尼电子,0
2017,sz603288,海天味业,1
2017,sz603859,能科股份,1
2017,sz600719,大连热电,0
2017,sz600987,航民股份,1
2017,sz002243,通产丽星,0
2017,sz600271,航天信息,1
2017,sz600420,现代制药,0
2017,sz600502,安徽水利,1
2017,sz601882,海天精工,0
2017,sz900948,伊泰Ｂ股,1
2017,sz000856,冀东装备,0
2017,sz600736,苏州高新,0
2017,sz002393,力生制药,0
2017,sz600720,祁连山,1
2017,sz600328,兰太实业,1
2017,sz601588,北辰实业,1
2017,sz603688,石英股份,1
2017,sz002080,中材科技,0
2017,sz000619,海螺型材,0
2017,sz600575,皖江物流,0
2017,sz600793,宜宾纸业,0
2017,sz000862,银星能源,0
2017,sz600459,贵研铂业,0
2017,sz603003,龙宇燃油,1
2017,sz603881,数据港,1
2017,sz000037,深南电A,0
2017,sz002662,京威股份,0
2017,sz600727,鲁北化工,0
2017,sz000028,国药一致,1
2017,sz300130,新国都,1
2017,sz002706,良信电器,0
2017,sz600210,紫江企业,0
2017,sz300659,中孚信息,1
2017,sz000965,天保基建,0
